2017-12-01,A PUTRA DEWASA,A,1,Yudha,Setia Hati Organisasi,Yogasara,Tapak Suci,PENYISIHAN
2017-12-01,A PUTRA DEWASA,A,2,Eman,Matahari,Rizki,Setia hati terate,PENYISIHAN
2017-12-01,A PUTRA DEWASA,A,3,Sapta,Perisai Diri,Lubix,Setia hati organisasi,PENYISIHAN
2017-12-01,A PUTRA DEWASA,A,4,Muklis,Setia hati terate,Rizal,Tapak Suci,PENYISIHAN
2017-12-01,A PUTRA DEWASA,A,5,Roma,Canda Birawa,Ramli,Perisai Diri,PEREMPAT FINAL
2017-12-01,A PUTRA DEWASA,A,6,Irama,Matahari,Robi,Setia hati terate,PEREMPAT FINAL
2017-12-01,A PUTRA DEWASA,A,7,Isran,Perisai Diri,Suganda,Canda Birawa,SEMIFINAL
2017-12-01,A PUTRA DEWASA,A,8,Azis,Setia hati terate,Reza,Tapak Suci,SEMIFINAL
2017-12-01,A PUTRA DEWASA,A,9,Gagap,Setia Hati Organisasi,Oktavianus,Matahari,FINAL
2017-12-01,A PUTRA DEWASA,A,10,Brian,Setia Hati Organisasi,Gamma,Perisai Diri,FINAL
